team,season,TR,Age,W,L,SRS,ORtg,rORtg,DRtg,rDRtg,NRtg,Pace,rPace,FTr,rFTr,TS%,rTS%
Boston Celtics,2024,14,28.2,64,18,10.8,123.2,8.6,111.6,-3,11.6,97.2,-1.9,0.224,-0.044,0.609,0.028
Minnesota Timberwolves,2024,9.3,27.2,56,26,6.4,115.6,1,109,-5.6,6.6,97.1,-2,0.27,0.002,0.594,0.013
Oklahoma City Thunder,2024,9.1,23.4,57,25,7.4,119.5,4.9,112.1,-2.5,7.4,99.8,0.7,0.24,-0.028,0.608,0.027
Dallas Mavericks,2024,7.8,26.5,50,32,2.3,117.6,3,115.4,0.8,2.2,100.1,1,0.251,-0.017,0.592,0.011
Indiana Pacers,2024,5.8,25.3,47,35,2.8,121,6.4,118,3.4,3,101.7,2.6,0.222,-0.046,0.606,0.025
Denver Nuggets,2024,5.2,27.1,57,25,5.2,118.5,3.9,113,-1.6,5.5,96.8,-2.3,0.224,-0.044,0.589,0.008
New York Knicks,2024,4.1,26.4,50,32,4.4,118.2,3.6,113.4,-1.2,4.8,95.2,-3.9,0.246,-0.022,0.574,-0.007
Golden State Warriors,2024,3,28.4,46,36,2.8,117.8,3.2,115.2,0.6,2.6,99.2,0.1,0.219,-0.049,0.586,0.005
Orlando Magic,2024,2.9,24,47,35,1.5,113.4,-1.2,111.3,-3.3,2.1,96.9,-2.2,0.287,0.019,0.577,-0.004
Philadelphia 76ers,2024,2.8,28.4,47,35,2.5,116.9,2.3,113.8,-0.8,3.1,97.5,-1.6,0.264,-0.004,0.574,-0.007
Sacramento Kings,2024,2.5,26.4,46,36,2.3,116.9,2.3,115.2,0.6,1.7,98.8,-0.3,0.229,-0.039,0.582,0.001
New Orleans Pelicans,2024,2,26,49,33,4.5,117.4,2.8,112.9,-1.7,4.5,97.9,-1.2,0.261,-0.007,0.591,0.01
Milwaukee Bucks,2024,1.7,30.2,49,33,2.4,118.4,3.8,115.8,1.2,2.6,99.9,0.8,0.27,0.002,0.601,0.02
Los Angeles Clippers,2024,1.3,30.4,51,31,3.4,118.8,4.2,115.4,0.8,3.4,97.2,-1.9,0.256,-0.012,0.599,0.018
Houston Rockets,2024,1.3,25.1,41,41,1.2,114.5,-0.1,113.4,-1.2,1.1,99,-0.1,0.257,-0.011,0.565,-0.016
Cleveland Cavaliers,2024,1.2,26.2,48,34,2,115.2,0.6,112.7,-1.9,2.5,97.2,-1.9,0.234,-0.034,0.586,0.005
Los Angeles Lakers,2024,0.9,28,47,35,1.1,115.9,1.3,115.3,0.7,0.6,100.9,1.8,0.276,0.008,0.601,0.02
Phoenix Suns,2024,0.8,29.3,49,33,3.1,117.6,3,114.6,0,3,98.3,-0.8,0.271,0.003,0.603,0.022
Miami Heat,2024,-1.4,28,46,36,1.1,114,-0.6,112.2,-2.4,1.8,96.2,-2.9,0.257,-0.011,0.578,-0.003
Chicago Bulls,2024,-1.8,28.1,39,43,-1.8,114.9,0.3,116.3,1.7,-1.4,96.3,-2.8,0.236,-0.032,0.568,-0.013
Atlanta Hawks,2024,-2.6,26.2,36,46,-2.4,117.2,2.6,119.4,4.8,-2.2,100.1,1,0.251,-0.017,0.576,-0.005
Brooklyn Nets,2024,-3.4,26.1,32,50,-3,113.2,-1.4,116.1,1.5,-2.9,96.9,-2.2,0.234,-0.034,0.561,-0.02
Utah Jazz,2024,-4.6,25.1,31,51,-4.2,115.5,0.9,120.4,5.8,-4.9,99.5,0.4,0.251,-0.017,0.579,-0.002
San Antonio Spurs,2024,-6.6,23,22,60,-5.8,110,-4.6,116.4,1.8,-6.4,101.1,2,0.22,-0.048,0.563,-0.018
Toronto Raptors,2024,-7.1,25.9,25,57,-6.5,112.3,-2.3,118.8,4.2,-6.5,99.4,0.3,0.241,-0.027,0.566,-0.015
Memphis Grizzlies,2024,-7.1,24.4,27,55,-6.6,107.2,-7.4,114.3,-0.3,-7.1,98.2,-0.9,0.238,-0.03,0.543,-0.038
Portland Trail Blazers,2024,-9.1,24.1,21,61,-8.3,108.3,-6.3,117.5,2.9,-9.2,97.2,-1.9,0.228,-0.04,0.539,-0.042
Detroit Pistons,2024,-10.2,23.8,14,68,-9.1,109.7,-4.9,118.8,4.2,-9.1,99.8,0.7,0.246,-0.022,0.562,-0.019
Washington Wizards,2024,-10.4,24.9,15,67,-9.3,110.5,-4.1,119.6,5,-9.1,102.7,3.6,0.221,-0.047,0.567,-0.014
Charlotte Hornets,2024,-10.9,25.1,21,61,-10.1,109.3,-5.3,119.8,5.2,-10.5,97.3,-1.8,0.212,-0.056,0.56,-0.021
Denver Nuggets,2023,9,26.6,53,29,3,117.6,2.8,114.2,-0.6,3.4,98.1,-1,0.259,-0.007,0.601,0.02
Boston Celtics,2023,7.7,27.4,57,25,6.4,118,3.2,111.5,-3.3,6.5,98.5,-0.6,0.243,-0.023,0.6,0.019
Philadelphia 76ers,2023,5,28.2,54,28,4.4,117.7,2.9,113.3,-1.5,4.4,96.9,-2.2,0.3,0.034,0.608,0.027
Miami Heat,2023,4.4,27.7,44,38,-0.1,113,-1.8,113.3,-1.5,-0.3,96.3,-2.8,0.27,0.004,0.574,-0.007
Los Angeles Lakers,2023,4,27.9,43,39,0.4,114.5,-0.3,113.9,-0.9,0.6,101.3,2.2,0.299,0.033,0.582,0.001
New York Knicks,2023,3.5,24.5,47,35,3,117.8,3,114.8,0,3,97.1,-2,0.285,0.019,0.577,-0.004
Cleveland Cavaliers,2023,2.7,25.4,51,31,5.2,116.1,1.3,110.6,-4.2,5.5,95.7,-3.4,0.264,-0.002,0.59,0.009
Golden State Warriors,2023,2.6,27.3,44,38,1.7,116.1,1.3,114.4,-0.4,1.7,101.6,2.5,0.224,-0.042,0.6,0.019
Sacramento Kings,2023,1.8,25.4,48,34,2.3,119.4,4.6,116.8,2,2.6,100.3,1.2,0.284,0.018,0.608,0.027
Phoenix Suns,2023,1.7,28.1,45,37,2.1,115.1,0.3,113,-1.8,2.1,98.2,-0.9,0.241,-0.025,0.57,-0.011
New Orleans Pelicans,2023,1.7,25.9,42,40,1.6,114.4,-0.4,112.5,-2.3,1.9,99.1,0,0.279,0.013,0.582,0.001
Toronto Raptors,2023,1.6,25.8,41,41,1.6,115.5,0.7,114,-0.8,1.5,97.1,-2,0.257,-0.009,0.555,-0.026
Chicago Bulls,2023,1.4,27.5,40,42,1.4,113.5,-1.3,112.2,-2.6,1.3,98.5,-0.6,0.251,-0.015,0.587,0.006
Milwaukee Bucks,2023,1.3,29.8,58,24,3.6,115.4,0.6,111.9,-2.9,3.5,100.5,1.4,0.248,-0.018,0.583,0.002
Memphis Grizzlies,2023,1,24.4,51,31,3.6,115.1,0.3,111.2,-3.6,3.9,101.1,2,0.259,-0.007,0.57,-0.011
Oklahoma City Thunder,2023,0.9,22.8,40,42,1,115.2,0.4,114.2,-0.6,1,101.1,2,0.256,-0.01,0.57,-0.011
Atlanta Hawks,2023,0.1,24.9,41,41,0.3,116.6,1.8,116.3,1.5,0.3,100.7,1.6,0.244,-0.022,0.579,-0.002
Dallas Mavericks,2023,-0.2,27.8,38,44,-0.1,116.8,2,116.7,1.9,0.1,96.6,-2.5,0.298,0.032,0.599,0.018
Brooklyn Nets,2023,-0.7,28,45,37,1,115,0.2,114.1,-0.7,0.9,98.3,-0.8,0.26,-0.006,0.598,0.017
Utah Jazz,2023,-1.2,26.5,37,45,-1,115.8,1,116.7,1.9,-0.9,100.5,1.4,0.265,-0.001,0.584,0.003
Washington Wizards,2023,-1.3,26.2,35,47,-1.1,114.4,-0.4,115.6,0.8,-1.2,98.6,-0.5,0.258,-0.008,0.585,0.004
Los Angeles Clippers,2023,-1.6,29.7,44,38,0.3,115,0.2,114.5,-0.3,0.5,98,-1.1,0.278,0.012,0.588,0.007
Minnesota Timberwolves,2023,-2.5,25.8,42,40,-0.2,113.7,-1.1,113.8,-1,-0.1,101,1.9,0.271,0.005,0.592,0.011
Orlando Magic,2023,-2.7,23.1,34,48,-2.4,111.6,-3.2,114.2,-0.6,-2.6,99.3,0.2,0.29,0.024,0.573,-0.008
Indiana Pacers,2023,-3.1,24.5,35,47,-2.9,114.6,-0.2,117.7,2.9,-3.1,101.1,2,0.265,-0.001,0.581,0
Portland Trail Blazers,2023,-4.3,25.1,33,49,-4,114.8,0,118.8,4,-4,98.6,-0.5,0.289,0.023,0.589,0.008
Charlotte Hornets,2023,-6.5,25.3,27,55,-5.9,109.2,-5.6,115.3,0.5,-6.1,100.8,1.7,0.261,-0.005,0.55,-0.031
Houston Rockets,2023,-8.4,22.1,22,60,-7.6,111.4,-3.4,119.3,4.5,-7.9,99,-0.1,0.285,0.019,0.554,-0.027
Detroit Pistons,2023,-8.7,24.1,17,65,-7.7,110.7,-4.1,118.9,4.1,-8.2,99,-0.1,0.295,0.029,0.561,-0.02
San Antonio Spurs,2023,-10.6,23.9,22,60,-9.8,110.2,-4.6,120,5.2,-9.8,101.6,2.5,0.229,-0.037,0.554,-0.027
Golden State Warriors,2022,10.1,27.6,53,29,5.5,112.5,0.5,106.9,-5.1,5.6,98.4,0.2,0.235,-0.013,0.582,0.016
Boston Celtics,2022,9,26.1,51,31,7,114.4,2.4,106.9,-5.1,7.5,96.6,-1.6,0.239,-0.009,0.578,0.012
Miami Heat,2022,8.2,28.2,53,29,4.2,113.7,1.7,109.1,-2.9,4.6,95.9,-2.3,0.252,0.004,0.584,0.018
Dallas Mavericks,2022,6.6,26.7,52,30,3.1,112.8,0.8,109.4,-2.6,3.4,95.4,-2.8,0.249,0.001,0.572,0.006
Memphis Grizzlies,2022,6.5,24,56,26,5.4,114.6,2.6,109,-3,5.6,100.3,2.1,0.245,-0.003,0.553,-0.013
Phoenix Suns,2022,5.7,27.5,64,18,6.9,114.8,2.8,107.3,-4.7,7.5,99.8,1.6,0.221,-0.027,0.581,0.015
Milwaukee Bucks,2022,4.9,28.5,51,31,3.2,115.1,3.1,111.8,-0.2,3.3,99.9,1.7,0.257,0.009,0.58,0.014
Philadelphia 76ers,2022,3.5,26.8,51,31,2.6,113.5,1.5,110.8,-1.2,2.7,96.2,-2,0.282,0.034,0.578,0.012
Utah Jazz,2022,3.4,29.3,49,33,5.7,116.7,4.7,110.5,-1.5,6.2,97.1,-1.1,0.271,0.023,0.589,0.023
Cleveland Cavaliers,2022,2.2,24.7,44,38,2,111.9,-0.1,109.7,-2.3,2.2,96.1,-2.1,0.261,0.013,0.571,0.005
Minnesota Timberwolves,2022,1.7,24.2,46,36,2.5,114.3,2.3,111.7,-0.3,2.6,100.9,2.7,0.254,0.006,0.573,0.007
Brooklyn Nets,2022,1.2,29.1,44,38,0.8,113.6,1.6,112.8,0.8,0.8,99,0.8,0.246,-0.002,0.576,0.01
Charlotte Hornets,2022,0.6,25.5,43,39,0.5,114.1,2.1,113.7,1.7,0.4,100,1.8,0.234,-0.014,0.572,0.006
Denver Nuggets,2022,0.4,27.7,48,34,2.2,114.5,2.5,112.1,0.1,2.4,97.8,-0.4,0.244,-0.004,0.59,0.024
Los Angeles Clippers,2022,0.2,27.5,42,40,0.1,110.1,-1.9,110.1,-1.9,0,98,-0.2,0.224,-0.024,0.564,-0.002
New Orleans Pelicans,2022,0.1,25.6,36,46,-0.8,112,0,113,1,-1,97.2,-1,0.264,0.016,0.557,-0.009
Toronto Raptors,2022,0.1,24.8,48,34,2.4,112.9,0.9,110.5,-1.5,2.4,96,-2.2,0.234,-0.014,0.543,-0.023
New York Knicks,2022,-0.2,26,37,45,0,110.4,-1.6,110.5,-1.5,-0.1,95.9,-2.3,0.28,0.032,0.55,-0.016
